Year,Quarter,State,Tax_Category,Tax_Code,Amount
2004,1,California,Insurance,T12,66389.0
2004,1,California,Motor fuel sales taxes,T13,799565.0
2004,1,California,Pari-mutuels,T14,3587.0
2004,1,California,Public utilities,T15,21636.0
2004,1,California,Tobacco products,T16,281580.0
2004,1,California,Other selective sales and gross receipts,T19,18482.0
2004,1,California,Alcoholic beverages,T20,10309.0
2004,1,California,Amusements,T21,1218.0
2004,1,California,Corporations in general,T22,16597.0
2004,1,California,Hunting and fishing licenses,T23,19521.0
2004,1,California,Motor vehicles,T24,529005.0
2004,1,California,Motor vehicle operator,T25,44066.0
2004,1,California,Public utilities,T27,29159.0
2004,1,California,Occupation and business licenses,T28,720230.0
2004,1,California,Other licenses taxes,T29,2869.0
2004,1,California,Individual income taxes,T40,8559291.0
2004,1,California,Corporation net income taxes,T41,1628643.0
2004,1,California,Death and gift taxes,T50,135097.0
2004,1,California,Documentary and stock transfer taxes,T51,0.0
2004,1,California,Severance taxes,T53,3403.0
2004,1,California,Other miscellaneous taxes,T99,0.0
2004,1,Colorado,Property tax,T01,0.0
2004,1,Colorado,General sales and gross receipts,T09,473993.0
2004,1,Colorado,Alcoholic beverages,T10,7685.0
2004,1,Colorado,Amusements,T11,29592.0
2004,1,Colorado,Insurance,T12,59390.0
2004,1,Colorado,Motor fuel sales taxes,T13,142459.0
2004,1,Colorado,Pari-mutuels,T14,1053.0
2004,1,Colorado,Public utilities,T15,2275.0
2004,1,Colorado,Tobacco products,T16,14941.0
2004,1,Colorado,Other selective sales and gross receipts,T19,0.0
2004,1,Colorado,Alcoholic beverages,T20,1654.0
2004,1,Colorado,Amusements,T21,226.0
2004,1,Colorado,Corporations in general,T22,2030.0
2004,1,Colorado,Hunting and fishing licenses,T23,28053.0
2004,1,Colorado,Motor vehicles,T24,50482.0
2004,1,Colorado,Motor vehicle operator,T25,3073.0
2004,1,Colorado,Public utilities,T27,0.0
2004,1,Colorado,Occupation and business licenses,T28,10491.0
2004,1,Colorado,Other licenses taxes,T29,134.0
2004,1,Colorado,Individual income taxes,T40,707710.0
2004,1,Colorado,Corporation net income taxes,T41,12367.0
2004,1,Colorado,Death and gift taxes,T50,16883.0
2004,1,Colorado,Documentary and stock transfer taxes,T51,0.0
2004,1,Colorado,Severance taxes,T53,25302.0
2004,1,Colorado,Other miscellaneous taxes,T99,0.0
2004,1,Connecticut,Property tax,T01,0.0
2004,1,Connecticut,General sales and gross receipts,T09,794493.0
2004,1,Connecticut,Alcoholic beverages,T10,9810.0
2004,1,Connecticut,Amusements,T11,103327.0
2004,1,Connecticut,Insurance,T12,76154.0
2004,1,Connecticut,Motor fuel sales taxes,T13,117131.0
2004,1,Connecticut,Pari-mutuels,T14,2591.0
2004,1,Connecticut,Public utilities,T15,45524.0
2004,1,Connecticut,Tobacco products,T16,63466.0
2004,1,Connecticut,Other selective sales and gross receipts,T19,28484.0
2004,1,Connecticut,Alcoholic beverages,T20,1459.0
2004,1,Connecticut,Amusements,T21,18.0
2004,1,Connecticut,Corporations in general,T22,3967.0
2004,1,Connecticut,Hunting and fishing licenses,T23,1087.0
2004,1,Connecticut,Motor vehicles,T24,52059.0
2004,1,Connecticut,Motor vehicle operator,T25,10673.0
2004,1,Connecticut,Public utilities,T27,3.0
2004,1,Connecticut,Occupation and business licenses,T28,36730.0
2004,1,Connecticut,Other licenses taxes,T29,2902.0
2004,1,Connecticut,Individual income taxes,T40,1035867.0
2004,1,Connecticut,Corporation net income taxes,T41,27285.0
2004,1,Connecticut,Death and gift taxes,T50,31929.0
2004,1,Connecticut,Documentary and stock transfer taxes,T51,32492.0
2004,1,Connecticut,Severance taxes,T53,0.0
2004,1,Connecticut,Other miscellaneous taxes,T99,0.0
2004,1,Delaware,Property tax,T01,0.0
2004,1,Delaware,General sales and gross receipts,T09,0.0
2004,1,Delaware,Alcoholic beverages,T10,3091.0
2004,1,Delaware,Amusements,T11,0.0
2004,1,Delaware,Insurance,T12,17071.0
2004,1,Delaware,Motor fuel sales taxes,T13,25403.0
2004,1,Delaware,Pari-mutuels,T14,32.0
2004,1,Delaware,Public utilities,T15,9341.0
2004,1,Delaware,Tobacco products,T16,17212.0
2004,1,Delaware,Other selective sales and gross receipts,T19,17013.0
2004,1,Delaware,Alcoholic beverages,T20,108.0
2004,1,Delaware,Amusements,T21,60.0
2004,1,Delaware,Corporations in general,T22,230342.0
2004,1,Delaware,Hunting and fishing licenses,T23,180.0
2004,1,Delaware,Motor vehicles,T24,8082.0
2004,1,Delaware,Motor vehicle operator,T25,540.0
2004,1,Delaware,Public utilities,T27,1978.0
2004,1,Delaware,Occupation and business licenses,T28,60524.0
2004,1,Delaware,Other licenses taxes,T29,12177.0
2004,1,Delaware,Individual income taxes,T40,190038.0
2004,1,Delaware,Corporation net income taxes,T41,21959.0
2004,1,Delaware,Death and gift taxes,T50,2548.0
2004,1,Delaware,Documentary and stock transfer taxes,T51,24975.0
2004,1,Delaware,Severance taxes,T53,0.0
